Name,%,Price,Rating,Release,Ends,Started
"The Journey - Episode 1: Whatever This Is  Week Long Deal all-time low: R$ 3,59 at -20%",-20%,"R$ 5,59",89.18%,Apr 2021,in 3 hours,7 days ago
"Whispers of a Machine   all-time low: R$ 5,79 at -80%",-80%,"R$ 9,39",89.12%,Apr 2019,in 3 hours,7 days ago
"THE LONGING   all-time low: R$ 21,74 at -25%",-30%,"R$ 31,97",89.11%,Mar 2020,in 3 hours,5 days ago
The Shell Part II: Purgatorio,-20%,"R$ 59,19",89.10%,Apr 2024,21 hours ago,15 days ago
"Night Reverie  Week Long Deal all-time low: R$ 14,48 at -30%",-35%,"R$ 21,44",89.09%,Oct 2021,in 3 hours,7 days ago
"RPG Maker XP   all-time low: R$ 0,00 at -100%",-90%,"R$ 7,39",89.08%,Sep 2005,2 days ago,9 days ago
"Wild Animal Racing  Week Long Deal 2-year low: R$ 5,82",-25%,"R$ 10,49",88.94%,Mar 2016,in 3 hours,6 days ago
"Command & Conquer™ Remastered Collection   all-time low: R$ 8,85 at -85%",-70%,"R$ 32,70",88.86%,Jun 2020,in 3 hours,14 days ago
"Robot Roller-Derby Disco Dodgeball  Week Long Deal all-time low: R$ 1,99 at -90%",-80%,"R$ 6,59",88.85%,Feb 2015,in 3 hours,7 days ago
"Overlord™: Raising Hell   all-time low: R$ 1,69 at -90%",-75%,"R$ 4,24",88.81%,Feb 2008,in 3 hours,14 days ago
"Ogu and the Secret Forest   all-time low: R$ 43,99 at -20%",-20%,"R$ 59,99",88.71%,Jul 2024,3 days ago,17 days ago
"Soulstone Survivors   all-time low: R$ 19,49 at -35%",-30%,"R$ 20,99",88.67%,Nov 2022,in 3 days,4 days ago
"Figment 2: Creed Valley   all-time low: R$ 5,55 at -95%",-80%,"R$ 13,30",88.63%,Mar 2023,3 days ago,5 days ago
"Regency Solitaire   all-time low: R$ 4,99 at -75%",-57%,"R$ 14,18",88.63%,May 2015,in 7 days,7 days ago
Uncover the Smoking Gun,-30%,"R$ 41,99",88.63%,Jun 2024,in 6 days,7 days ago
Grow Home   current 2-year low,-75%,"R$ 5,99",88.58%,Feb 2015,in 6 days,8 days ago
"Chicken Journey   all-time low: R$ 16,49 at -50%",-35%,"R$ 21,44",88.57%,Aug 2023,in 7 days,7 days ago
"DeathSpank   all-time low: R$ 5,90 at -90%",-75%,"R$ 14,75",88.55%,Oct 2010,in 3 hours,14 days ago
"CONSCRIPT   all-time low: R$ 46,79 at -35%",-35%,"R$ 56,16",88.47%,Jul 2024,in 7 days,7 days ago
With My Past,-20%,"R$ 23,99",88.47%,May 2024,—,6 days ago
"Savant - Ascent  Week Long Deal all-time low: R$ 1,07 at -75%",-50%,"R$ 3,49",88.45%,Dec 2013,in 3 hours,5 days ago
Nyan Cat: Lost In Space   current 2-year low,-50%,"R$ 5,44",88.40%,Dec 2015,in 4 days,10 days ago
"Far Cry 3   all-time low: R$ 8,99 at -85%",-75%,"R$ 14,99",88.39%,Dec 2012,21 hours ago,8 days ago
"Knights of Honor  Week Long Deal all-time low: R$ 2,55 at -85%",-75%,"R$ 8,99",88.39%,May 2005,in 3 hours,6 days ago
Chihiro Himukai Always Walks Away,-80%,"R$ 7,59",88.35%,Jul 2021,21 hours ago,15 days ago
"RPG Maker MV   all-time low: R$ 20,39 at -85%",-85%,"R$ 32,24",88.34%,Oct 2015,2 days ago,9 days ago
Bug & Seek  Week Long Deal,-34%,"R$ 31,01",88.29%,Dec 2023,in 3 hours,7 days ago
"The Witcher 2: Assassins of Kings Enhanced Edition   all-time low: R$ 5,54 at -85%",-85%,"R$ 8,99",88.28%,May 2011,21 hours ago,13 days ago
"Lil' Guardsman   all-time low: R$ 39,56 at -20%",-30%,"R$ 41,99",88.28%,Jan 2024,in 4 days,7 days ago
"Elsinore   all-time low: R$ 8,27 at -60%",-50%,"R$ 10,34",88.20%,Jul 2019,in 3 hours,7 days ago
VIDEOVERSE  new historical low,-33%,"R$ 28,13",88.20%,Aug 2023,in 3 hours,7 days ago
Art Reborn: Painting Connoisseur,-20%,"R$ 18,80",88.13%,Aug 2023,—,6 days ago
Astrologaster,-60%,"R$ 8,00",88.11%,May 2019,in 3 hours,7 days ago
"Age of History II  Week Long Deal all-time low: R$ 4,24 at -50%",-50%,"R$ 8,49",88.07%,Nov 2018,in 3 hours,6 days ago
Star Leaping Story  new historical low,-21%,"R$ 26,07",88.06%,May 2024,—,6 days ago
"Coloring Game: Pixel   all-time low: R$ 2,91 at -35%",-50%,"R$ 8,49",88.02%,Oct 2019,in 3 days,4 days ago
"Nobody Saves the World  Week Long Deal all-time low: R$ 28,49 at -40%",-60%,"R$ 29,59",87.97%,Jan 2022,in 3 hours,7 days ago
"Alice: Madness Returns   all-time low: R$ 4,37 at -78%",-85%,"R$ 7,35",87.96%,Jun 2011,in 3 hours,14 days ago
"100 hidden birds  Week Long Deal all-time low: R$ 0,68 at -70%",-70%,"R$ 2,09",87.92%,Dec 2020,in 3 hours,6 days ago
The Apocalypse Sacrifice  Introductory Offernew historical low,-10%,"R$ 23,40",87.92%,Oct 2024,3 days ago,17 days ago
"Hidden Cats in Santa's Realm   all-time low: R$ 11,03 at -20%",-10%,"R$ 12,41",87.92%,Dec 2023,in 3 hours,14 days ago
Regency Solitaire II  new historical low,-32%,"R$ 31,95",87.87%,Feb 2024,in 7 days,7 days ago
"Like Dreamer  Week Long Deal all-time low: R$ 22,31 at -20%",-40%,"R$ 26,69",87.85%,Jul 2022,in 3 hours,7 days ago
"SLUDGE LIFE   all-time low: R$ 0,00 at -100%",-80%,"R$ 9,39",87.83%,Jun 2021,in 3 hours,7 days ago
"Heroines of Swords & Spells   all-time low: R$ 4,34 at -70%",-50%,"R$ 11,75",87.83%,Mar 2020,in 3 days,4 days ago
"Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition   all-time low: R$ 11,57 at -87%",-70%,"R$ 47,70",87.78%,May 2022,in 3 hours,14 days ago
"Offroad Mania   all-time low: R$ 5,44 at -50%",-52%,"R$ 12,71",87.70%,Feb 2020,in 3 hours,14 days ago
"Boyfriend Dungeon   all-time low: R$ 24,69 at -35%",-50%,"R$ 29,99",87.68%,Aug 2021,in 3 hours,7 days ago
"OPUS: Rocket of Whispers   all-time low: R$ 6,50 at -65%",-50%,"R$ 23,49",87.65%,Feb 2018,in 8 days,6 days ago
Tom Clancy's Rainbow Six® 3 Gold   current 2-year low,-75%,"R$ 7,49",87.64%,Mar 2003,in 6 days,8 days ago
"STAR WARS Jedi: Fallen Order™   all-time low: R$ 19,90 at -90%",-80%,"R$ 39,80",87.62%,Nov 2019,in 3 hours,14 days ago
"Bad Dream: Coma   all-time low: R$ 1,79 at -90%",-75%,"R$ 7,49",87.61%,Mar 2017,in 4 days,10 days ago
"A Juggler's Tale   all-time low: R$ 10,49 at -70%",-80%,"R$ 10,99",87.58%,Sep 2021,in 7 days,7 days ago
"Going Under   all-time low: R$ 14,99 at -75%",-75%,"R$ 26,22",87.57%,Sep 2020,in 3 hours,14 days ago
"Orbox C  Week Long Deal all-time low: R$ 0,81 at -87%",-50%,"R$ 1,74",87.55%,Dec 2016,in 3 hours,7 days ago
AMANATSU ~Perfect Edition~,-20%,"R$ 47,99",87.55%,May 2024,21 hours ago,15 days ago
"Factory Town  Week Long Deal all-time low: R$ 15,19 at -60%",-60%,"R$ 23,99",87.53%,Nov 2021,in 3 hours,7 days ago
"Sweet Shine   2-year low: R$ 5,36",-26%,"R$ 14,57",87.53%,Aug 2021,in 5 days,9 days ago
"RPG Maker 2003   all-time low: R$ 3,69 at -90%",-90%,"R$ 5,99",87.50%,Apr 2015,2 days ago,9 days ago
"theHunter: Call of the Wild™   all-time low: R$ 7,59 at -80%",-70%,"R$ 17,99",87.49%,Feb 2017,2 days ago,12 days ago
"Cats and the Other Lives   all-time low: R$ 17,99 at -70%",-60%,"R$ 23,99",87.44%,Nov 2022,2 days ago,5 days ago
Grow Up   current 2-year low,-75%,"R$ 7,49",87.43%,Aug 2016,in 6 days,8 days ago
"The Office Quest   all-time low: R$ 1,85 at -90%",-50%,"R$ 9,29",87.40%,May 2018,,
Let's! Revolution!  new historical low,-40%,"R$ 35,99",87.39%,Jul 2023,—,
"Unravel   all-time low: R$ 5,90 at -90%",-75%,"R$ 27,25",87.35%,Feb 2016,,
"Trover Saves the Universe   all-time low: R$ 14,49 at -75%",-67%,"R$ 19,13",87.35%,Jun 2019,,
"CosmoDreamer  Week Long Deal all-time low: R$ 11,61 at -30%",-40%,"R$ 15,89",87.35%,Oct 2020,,
UsoNatsu ~The Summer Romance Bloomed From A Lie~  Week Long Deal,-30%,"R$ 51,79",87.32%,Nov 2023,,
"Candleman: The Complete Journey   all-time low: R$ 11,59 at -60%",-55%,"R$ 13,04",87.31%,Feb 2018,,
Mondealy  Week Long Dealnew historical low,-47%,"R$ 20,39",87.31%,Aug 2023,,
"Easy Red 2   all-time low: R$ 6,49 at -35%",-20%,"R$ 23,99",87.27%,Nov 2020,,
Why Am I Dead At Sea   current 2-year low,-40%,"R$ 6,29",87.26%,May 2015,,
"Papetura  Week Long Deal all-time low: R$ 12,94 at -48%",-46%,"R$ 16,19",87.24%,May 2021,,
Arcadia Fallen  new historical low,-66%,"R$ 25,15",87.23%,Nov 2021,,
Kimi no Hitomi ni Hit Me  new historical low,-27%,"R$ 64,96",87.22%,Sep 2024,,
"Penguin Helper   all-time low: R$ 3,14 at -10%",-40%,"R$ 4,19",87.19%,Sep 2024,,
Fish Game,-25%,"R$ 55,49",87.19%,Oct 2023,,
HUMANITY,-40%,"R$ 53,39",87.18%,May 2023,,
Toy Shire,-10%,"R$ 29,69",87.18%,Aug 2024,,
"Genome Guardian   all-time low: R$ 16,19 at -67%",-8%,"R$ 31,06",87.13%,May 2024,—,
"GLAD VALAKAS SIMULATOR   all-time low: R$ 1,08 at -90%",-50%,"R$ 1,74",87.07%,Jun 2018,,
"Ultimate Fishing Simulator  Week Long Deal all-time low: R$ 5,54 at -85%",-90%,"R$ 5,99",87.06%,Aug 2018,,
"Sumatra: Fate of Yandi   all-time low: R$ 5,79 at -60%",-60%,"R$ 10,59",87.05%,May 2019,,
"Mount & Blade II: Bannerlord   all-time low: R$ 99,99 at -50%",-40%,"R$ 119,99",87.02%,Oct 2022,,
"Isolomus  Week Long Deal all-time low: R$ 1,25 at -45%",-50%,"R$ 1,74",87.01%,Dec 2020,,
"IS Defense   all-time low: R$ 1,85 at -85%",-52%,"R$ 11,46",87.00%,Apr 2016,—,
"Rayman® Legends   all-time low: R$ 13,49 at -85%",-80%,"R$ 17,99",86.99%,Sep 2013,,
"Magicraft   all-time low: R$ 28,04 at -15%",-20%,"R$ 39,99",86.98%,Nov 2024,,
"Xuan-Yuan Sword: Dance of the Maple Leaves   all-time low: R$ 5,44 at -50%",-50%,"R$ 8,50",86.96%,Jan 1995,,
Devil May Cry 4 Special Edition   current 2-year low,-70%,"R$ 25,17",86.95%,Jun 2015,,
"Ooblets  Week Long Deal all-time low: R$ 53,39 at -40%",-20%,"R$ 71,19",86.93%,Oct 2023,,
"Golf With Your Friends   all-time low: R$ 7,79 at -35%",-68%,"R$ 25,56",86.92%,May 2020,,
"Mecha Knights: Nightmare   all-time low: R$ 15,49 at -50%",-55%,"R$ 22,49",86.90%,Aug 2021,,
"Castle in The Clouds DX  Week Long Deal all-time low: R$ 20,16 at -25%",-25%,"R$ 31,49",86.89%,Oct 2021,,
"Exo One   all-time low: R$ 13,19 at -60%",-70%,"R$ 15,74",86.88%,Nov 2021,,
Hidden Capybaras with Orange,-20%,"R$ 5,59",86.87%,Dec 2023,,
"911 Operator   2-year low: R$ 5,59",-70%,"R$ 8,39",86.85%,Feb 2017,,
"Nelly Cootalot: The Fowl Fleet   all-time low: R$ 18,49 at -50%",-50%,"R$ 29,54",86.83%,Mar 2016,,
"Bendy and the Ink Machine   all-time low: R$ 7,59 at -80%",-75%,"R$ 9,49",86.80%,Feb 2017,,
"Unboxing the Cryptic Killer   all-time low: R$ 12,29 at -40%",-30%,"R$ 14,34",86.79%,Apr 2023,,
Stick to the Plan  new historical low,-45%,"R$ 21,16",86.76%,Sep 2023,,
Little Friends: Puppy Island  Week Long Dealnew historical low,-50%,"R$ 53,99",86.74%,Jun 2023,,
"Lost Potato   2-year low: R$ 2,59",-50%,"R$ 5,24",86.72%,Aug 2020,,
"High On Life   all-time low: R$ 54,99 at -50%",-35%,"R$ 70,19",86.67%,Dec 2022,,
"LUNA The Shadow Dust   all-time low: R$ 26,59 at -30%",-28%,"R$ 38,61",86.64%,Feb 2020,,
"Agatha Knife   all-time low: R$ 4,79 at -80%",-60%,"R$ 15,39",86.62%,Apr 2017,,
"100 hidden birds 2  Week Long Deal all-time low: R$ 0,89 at -80%",-80%,"R$ 2,09",86.60%,Oct 2021,,
Retail Company Simulator  new historical low,-30%,"R$ 26,94",86.59%,Aug 2024,,
"Chippy   all-time low: R$ 7,24 at -75%",-34%,"R$ 19,13",86.57%,Jun 2019,,
"The Forest Quartet   all-time low: R$ 3,29 at -90%",-80%,"R$ 6,59",86.56%,Dec 2022,,
"Grand Theft Auto V   all-time low: R$ 23,82 at -78%",-22%,"R$ 42,76",86.55%,Apr 2015,—,
"Godrop   all-time low: R$ 14,44 at -15%",-15%,"R$ 25,49",86.55%,Apr 2024,,
"Rust   all-time low: R$ 16,49 at -75%",-40%,"R$ 62,09",86.54%,Feb 2018,,
The Legend of The Sacred Stone EX,-30%,"R$ 11,61",86.52%,Mar 2022,,
"Battle Brothers   all-time low: R$ 18,47 at -67%",-50%,"R$ 34,99",86.46%,Mar 2017,,
"Happy Game   all-time low: R$ 9,91 at -66%",-70%,"R$ 10,25",86.45%,Oct 2021,,
"112 Operator   all-time low: R$ 9,49 at -80%",-70%,"R$ 14,24",86.41%,Apr 2020,,
"Mining Mechs   all-time low: R$ 3,29 at -67%",-34%,"R$ 6,59",86.40%,Oct 2023,,
"Romeow: in the cracked world  Week Long Deal all-time low: R$ 1,37 at -40%",-20%,"R$ 2,79",86.37%,Mar 2021,,
"Operation Warcade VR  Week Long Deal all-time low: R$ 9,24 at -75%",-65%,"R$ 12,94",86.36%,Jun 2017,,
"Super Trench Attack!  Week Long Deal 2-year low: R$ 2,09",-33%,"R$ 7,02",86.36%,Jul 2014,,
An English Haunting,-10%,"R$ 40,04",86.36%,May 2024,,
"Boris and the Dark Survival   all-time low: R$ 1,14 at -50%",-67%,"R$ 2,14",86.30%,Feb 2020,,
Mega Man 11   current 2-year low,-67%,"R$ 32,96",86.30%,Oct 2018,,
CARNAGE OFFERING Tower Defense  new historical low,-70%,"R$ 9,89",86.29%,Sep 2023,,
"Merry Glade  Week Long Deal all-time low: R$ 0,86 at -90%",-80%,"R$ 2,09",86.28%,May 2018,,
"Warhammer 40,000: Dawn of War II - Anniversary Edition   all-time low: R$ 5,54 at -85%",-80%,"R$ 26,99",86.23%,Feb 2009,,
Afterdream  new historical low,-30%,"R$ 25,05",86.20%,Sep 2023,,
"SPORE™ Galactic Adventures   all-time low: R$ 3,99 at -80%",-75%,"R$ 14,75",86.18%,Jun 2009,,
"Inspector Waffles   all-time low: R$ 10,75 at -60%",-60%,"R$ 16,79",86.18%,Mar 2021,,
Ad Fundum  Week Long Dealnew historical low,-25%,"R$ 17,62",86.14%,Jun 2024,,
Mewing Simulator 🤫🧏🏻‍♂️,-20%,"R$ 2,79",86.13%,Aug 2024,,
"Tales of Arise   all-time low: R$ 38,72 at -75%",-50%,"R$ 153,75",86.12%,Sep 2021,—,
"Gas Station Simulator   all-time low: R$ 26,59 at -30%",-30%,"R$ 41,99",86.10%,Sep 2021,,
TrackMania² Stadium   current 2-year low,-50%,"R$ 14,99",86.08%,Feb 2013,,
"Inkbound   all-time low: R$ 44,99 at -25%",-40%,"R$ 53,39",86.08%,Apr 2024,,
"Draft of Darkness   all-time low: R$ 17,58 at -15%",-50%,"R$ 23,49",86.07%,Aug 2023,,
"Trans-Siberian Railway Simulator   all-time low: R$ 30,39 at -20%",-22%,"R$ 46,79",86.03%,May 2024,,
Rogue Voltage  new historical low,-20%,"R$ 39,99",86.03%,May 2024,,
"A Way Out   all-time low: R$ 13,35 at -85%",-80%,"R$ 17,80",86.01%,Mar 2018,,
"Overlord II   all-time low: R$ 1,69 at -90%",-75%,"R$ 4,24",85.98%,Jun 2009,,
"Mirror's Edge™   all-time low: R$ 3,99 at -80%",-75%,"R$ 27,25",85.97%,Jan 2009,,
"Dungeon Keeper Gold™   all-time low: R$ 11,60 at -60%",-50%,"R$ 14,50",85.97%,Mar 2024,,
Lord Winklebottom Investigates  new historical low,-50%,"R$ 18,49",85.97%,Jul 2022,,
"Sid Meier's Alpha Centauri™ Planetary Pack   all-time low: R$ 11,60 at -60%",-50%,"R$ 14,50",85.96%,Mar 2024,,
"ACE COMBAT™ 7: SKIES UNKNOWN  Week Long Deal all-time low: R$ 22,99 at -90%",-84%,"R$ 36,78",85.92%,Jan 2019,,
"Tales From Space: Mutant Blobs Attack  Week Long Deal 2-year low: R$ 7,24",-75%,"R$ 8,24",85.92%,Aug 2012,,
"MUSYNX   all-time low: R$ 2,17 at -75%",-75%,"R$ 3,44",85.91%,Dec 2018,,
"Wanba Warriors   all-time low: R$ 4,43 at -65%",-70%,"R$ 5,09",85.89%,Mar 2020,,
"Gibbous -  A Cthulhu Adventure   all-time low: R$ 5,69 at -85%",-70%,"R$ 17,99",85.89%,Aug 2019,,
"STAR WARS™ Battlefront™ II   all-time low: R$ 19,08 at -88%",-75%,"R$ 39,75",85.88%,Nov 2017,,
"Lost in Random™   all-time low: R$ 14,90 at -90%",-75%,"R$ 39,75",85.87%,Sep 2021,,
"Mount & Blade: With Fire & Sword   all-time low: R$ 2,24 at -85%",-75%,"R$ 9,99",85.87%,May 2011,,
"Far Cry 3 - Blood Dragon   all-time low: R$ 6,74 at -85%",-75%,"R$ 11,24",85.85%,May 2013,,
Fhtagn Simulator,-50%,"R$ 8,29",85.84%,Oct 2022,,
"TEVI   all-time low: R$ 66,74 at -25%",-13%,"R$ 88,38",85.77%,Nov 2023,—,
Dice Player One  new historical low,-11%,"R$ 41,82",85.75%,Sep 2024,,
The Spire of Mech Zero  Introductory Offernew historical low,-40%,"R$ 19,79",85.74%,Nov 2024,,
"Cat and Ghostly Road  Week Long Deal all-time low: R$ 7,96 at -45%",-50%,"R$ 16,49",85.71%,Feb 2020,,
"Northgard   all-time low: R$ 11,59 at -80%",-75%,"R$ 14,49",85.66%,Mar 2018,,
"Everybody Wham Wham   all-time low: R$ 3,31 at -80%",-60%,"R$ 6,63",85.66%,Jan 2021,,
"Fell Seal: Arbiter's Mark   all-time low: R$ 13,34 at -85%",-34%,"R$ 88,18",85.63%,Apr 2019,—,
"Research Story   all-time low: R$ 22,39 at -20%",-15%,"R$ 23,79",85.62%,Feb 2023,—,
Radical Rabbit Stew  Week Long Dealnew historical low,-90%,"R$ 3,09",85.59%,Jul 2020,,
Dream Swing  new historical low,-67%,"R$ 3,46",85.55%,Jul 2023,,
"Worms Ultimate Mayhem   all-time low: R$ 3,74 at -85%",-80%,"R$ 4,99",85.54%,Sep 2011,,
"Vojo   all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",85.52%,Apr 2021,,
"Soulestination   all-time low: R$ 3,24 at -50%",-50%,"R$ 5,24",85.51%,Jan 2021,,
"UBERMOSH   all-time low: R$ 0,62 at -71%",-50%,"R$ 1,74",85.51%,Aug 2015,,
Wars and Warriors: Joan of Arc  Introductory Offer,-75%,"R$ 3,49",85.47%,Feb 2004,,
Driver® Parallel Lines   current 2-year low,-75%,"R$ 7,49",85.47%,Jun 2007,,
Godzilla Voxel Wars,-30%,"R$ 32,89",85.45%,Oct 2023,,
"Unlock The Cat   all-time low: R$ 2,69 at -40%",-50%,"R$ 3,49",85.42%,Mar 2021,,
"Battlefield™ 1   all-time low: R$ 13,93 at -93%",-85%,"R$ 29,85",85.39%,Oct 2016,,
"SPORE™ Creepy & Cute Parts Pack   all-time low: R$ 3,99 at -80%",-75%,"R$ 14,75",85.38%,Dec 2008,,
"Resident Evil 5   2-year low: R$ 16,72",-75%,"R$ 21,00",85.35%,Sep 2009,,
"Doom & Destiny Advanced   all-time low: R$ 1,99 at -90%",-70%,"R$ 8,99",85.29%,Nov 2016,,
"Red Matter   all-time low: R$ 23,74 at -50%",-45%,"R$ 35,02",85.29%,Nov 2018,,
"BANG! BANG! Totally Accurate Redneck Simulator  Week Long Deal all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",85.26%,May 2020,,
Starstruck: Hands of Time  new historical low,-20%,"R$ 47,99",85.23%,Sep 2024,,
"Super Woden GP 2   all-time low: R$ 25,99 at -35%",-21%,"R$ 39,87",85.22%,Nov 2023,—,
"Broken Sword 5 - the Serpent's Curse   all-time low: R$ 6,74 at -85%",-80%,"R$ 8,99",85.17%,Jun 2014,,
"Green Hell   all-time low: R$ 15,67 at -67%",-67%,"R$ 27,06",85.16%,Sep 2019,,
"MechaNika   all-time low: R$ 1,67 at -80%",-75%,"R$ 3,44",85.13%,Jul 2015,,
Plot of the Druid,-70%,"R$ 8,69",85.13%,Nov 2022,,
Savant - Ascent REMIX  new historical low,-60%,"R$ 13,19",85.10%,Sep 2023,,
"Goodbye Volcano High   all-time low: R$ 52,19 at -10%",-33%,"R$ 59,62",85.10%,Aug 2023,,
HimeYoku: A Sacrifice of Lust and Grace,-50%,"R$ 18,99",85.08%,Sep 2022,,
"Portal of Evil: Stolen Runes Collector's Edition  Week Long Deal all-time low: R$ 1,08 at -90%",-85%,"R$ 2,54",85.07%,May 2015,,
"Archaica: The Path of Light  Week Long Deal all-time low: R$ 8,39 at -70%",-60%,"R$ 11,19",85.05%,Sep 2017,,
"Journey To The Savage Planet  Week Long Deal all-time low: R$ 24,75 at -75%",-70%,"R$ 29,70",84.99%,Jan 2021,,
Mayhem Brawler,-67%,"R$ 19,79",84.98%,Aug 2021,,
Neon Abyss,-75%,"R$ 26,22",84.97%,Jul 2020,,
"King of Retail  Week Long Deal all-time low: R$ 23,44 at -33%",-60%,"R$ 30,85",84.96%,Sep 2022,,
"Magical Diary: Horse Hall  Week Long Deal all-time low: R$ 6,99 at -75%",-65%,"R$ 16,44",84.94%,May 2012,,
"Coloring Game: Girls   all-time low: R$ 7,24 at -50%",-50%,"R$ 20,99",84.94%,Jul 2022,,
DuckTales: Remastered,-75%,"R$ 7,49",84.91%,Aug 2013,,
"Vampire Hunters  Introductory Offer all-time low: R$ 26,39 at -20%",-25%,"R$ 35,24",84.86%,Oct 2024,,
"Journey of Greed   all-time low: R$ 5,79 at -60%",-60%,"R$ 9,40",84.85%,Oct 2019,,
Mini Words - minimalist puzzle   current 2-year low,-30%,"R$ 4,89",84.85%,Oct 2019,,
"Magical Mic Duel: Senpai, Hear My Spell  new historical low",-50%,"R$ 11,75",84.84%,May 2024,,
"Battlefield 4™   all-time low: R$ 13,93 at -93%",-90%,"R$ 19,90",84.77%,Oct 2013,,
"ARCADE GAME SERIES: GALAGA   all-time low: R$ 4,24 at -75%",-50%,"R$ 14,99",84.77%,Apr 2016,—,
"Worms Revolution   2-year low: R$ 11,98",-80%,"R$ 15,98",84.76%,Oct 2012,,
"Shardlight   all-time low: R$ 5,59 at -80%",-70%,"R$ 8,39",84.76%,Mar 2016,,
Tamayura Mirai,-40%,"R$ 35,99",84.76%,May 2023,,
Gunvolt Chronicles: Luminous Avenger iX,-50%,"R$ 14,49",84.71%,Sep 2019,,
"Gujian3(古剑奇谭三)   all-time low: R$ 14,50 at -75%",-50%,"R$ 28,99",84.71%,Dec 2018,,
Flood of Light,-50%,"R$ 4,19",84.65%,Jun 2017,,
Arranger: A Role-Puzzling Adventure  new historical low,-25%,"R$ 37,50",84.64%,Jul 2024,,
Zet Zillions  new historical low,-30%,"R$ 23,09",84.63%,May 2024,,
Virtua Unlimited Project  new historical low,-20%,"R$ 28,63",84.62%,Apr 2024,,
"King Of The Castle   all-time low: R$ 15,52 at -10%",-50%,"R$ 17,99",84.60%,Mar 2023,,
"Military Conflict: Vietnam   all-time low: R$ 20,99 at -30%",-30%,"R$ 27,99",84.60%,Dec 2022,,
"Yes, Your Grace   all-time low: R$ 7,59 at -80%",-75%,"R$ 9,49",84.59%,Mar 2020,,
Street Fighter™ 6,-50%,"R$ 124,50",84.59%,Jun 2023,,
"Verdun   all-time low: R$ 8,99 at -80%",-80%,"R$ 11,99",84.57%,Apr 2015,,
"Bum Simulator   all-time low: R$ 10,49 at -70%",-50%,"R$ 17,49",84.57%,May 2023,,
Love of Magic Book 2: The War,-40%,"R$ 17,39",84.55%,May 2022,,
"Chessarama   all-time low: R$ 20,99 at -30%",-25%,"R$ 22,49",84.55%,Dec 2023,,
Nope Nope Nope Nope Nurses,-20%,"R$ 47,99",84.51%,Oct 2023,,
"T-Minus 30   all-time low: R$ 7,24 at -65%",-65%,"R$ 10,49",84.49%,Aug 2021,,
"Girl and Goblin  Week Long Deal 2-year low: R$ 2,69",-40%,"R$ 4,19",84.49%,Jan 2019,,
"Wild Animal Sports Day  Week Long Deal 2-year low: R$ 5,82",-25%,"R$ 12,74",84.48%,Aug 2018,,
Capcom Fighting Collection,-60%,"R$ 67,96",84.46%,Jun 2022,,
"Warrior Kings: Battles   all-time low: R$ 1,99 at -90%",-80%,"R$ 5,99",84.45%,Sep 2003,,
Jumbo Airport Story  new historical low,-32%,"R$ 12,64",84.44%,Jun 2023,,
"Overboard!   all-time low: R$ 8,69 at -70%",-50%,"R$ 14,49",84.42%,Jun 2021,,
"ARCADE GAME SERIES: PAC-MAN   all-time low: R$ 4,24 at -75%",-50%,"R$ 14,99",84.41%,Apr 2016,—,
"Figment   all-time low: R$ 0,00 at -100%",-80%,"R$ 7,39",84.40%,Sep 2017,,
Femboy Aim Trainer,-10%,"R$ 3,14",84.40%,Jun 2024,,
"Gabenwood: 99 Hidden Bucks   all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",84.36%,Nov 2022,,
Super Alloy Ranger  new historical low,-45%,"R$ 15,40",84.36%,Sep 2022,,
"Gary Grigsby's War in the East  Week Long Deal all-time low: R$ 40,79 at -70%",-70%,"R$ 87,41",84.33%,Dec 2010,,
"Marble World   all-time low: R$ 18,99 at -60%",-40%,"R$ 28,49",84.33%,May 2021,,
Tropical Resort Story,-40%,"R$ 11,15",84.32%,Apr 2023,,
SAO Utils: Beta,-10%,"R$ 7,82",84.29%,Mar 2018,,
Ninki Seiyuu: How to Make a Pop Voice Actress,-80%,"R$ 15,09",84.28%,Oct 2021,,
Pocket Academy 3  new historical low,-30%,"R$ 13,01",84.28%,Jul 2023,,
"Drift Phonk 666   all-time low: R$ 1,14 at -50%",-50%,"R$ 1,74",84.17%,Apr 2021,,
"Space Raiders in Space   all-time low: R$ 3,10 at -85%",-80%,"R$ 4,13",84.16%,Dec 2020,,
Three Kingdoms: The Blood Moon  new historical low,-25%,"R$ 22,49",84.14%,Mar 2024,,
Reconnecting  Week Long Deal,-50%,"R$ 8,49",84.13%,Jun 2023,,
Borderlands 3,-90%,"R$ 11,99",84.12%,Mar 2020,,
"Battle Academy 2: Eastern Front   all-time low: R$ 17,51 at -76%",-76%,"R$ 25,91",84.12%,Sep 2014,,
KamiYaba: Destiny on a Dicey Deadline,-80%,"R$ 9,49",84.11%,Jan 2022,,
"Beyond a Steel Sky   all-time low: R$ 9,89 at -85%",-80%,"R$ 13,19",84.09%,Jul 2020,,
"Need for Speed™ Payback   all-time low: R$ 8,90 at -90%",-75%,"R$ 22,25",84.09%,Nov 2017,,
The Secret of Retropolis  Week Long Deal,-60%,"R$ 10,75",84.08%,Jul 2021,,
"Hourglass   all-time low: R$ 3,79 at -90%",-80%,"R$ 7,59",84.07%,Oct 2021,,
